"GEO_ID","NAME","S1903_C01_001E","S1903_C01_001M","S1903_C02_001E","S1903_C02_001M","S1903_C01_002E","S1903_C01_002M","S1903_C02_002E","S1903_C02_002M","S1903_C01_003E","S1903_C01_003M","S1903_C02_003E","S1903_C02_003M","S1903_C01_004E","S1903_C01_004M","S1903_C02_004E","S1903_C02_004M","S1903_C01_005E","S1903_C01_005M","S1903_C02_005E","S1903_C02_005M","S1903_C01_006E","S1903_C01_006M","S1903_C02_006E","S1903_C02_006M","S1903_C01_007E","S1903_C01_007M","S1903_C02_007E","S1903_C02_007M","S1903_C01_008E","S1903_C01_008M","S1903_C02_008E","S1903_C02_008M","S1903_C01_009E","S1903_C01_009M","S1903_C02_009E","S1903_C02_009M","S1903_C01_010E","S1903_C01_010M","S1903_C02_010E","S1903_C02_010M","S1903_C01_012E","S1903_C01_012M","S1903_C02_012E","S1903_C02_012M","S1903_C01_013E","S1903_C01_013M","S1903_C02_013E","S1903_C02_013M","S1903_C01_014E","S1903_C01_014M","S1903_C02_014E","S1903_C02_014M","S1903_C01_015E","S1903_C01_015M","S1903_C02_015E","S1903_C02_015M","S1903_C01_016E","S1903_C01_016M","S1903_C02_016E","S1903_C02_016M","S1903_C01_017E","S1903_C01_017M","S1903_C02_017E","S1903_C02_017M","S1903_C01_018E","S1903_C01_018M","S1903_C02_018E","S1903_C02_018M","S1903_C01_019E","S1903_C01_019M","S1903_C02_019E","S1903_C02_019M","S1903_C01_020E","S1903_C01_020M","S1903_C02_020E","S1903_C02_020M","S1903_C01_021E","S1903_C01_021M","S1903_C02_021E","S1903_C02_021M","S1903_C01_022E","S1903_C01_022M","S1903_C02_022E","S1903_C02_022M","S1903_C01_023E","S1903_C01_023M","S1903_C02_023E","S1903_C02_023M","S1903_C01_024E","S1903_C01_024M","S1903_C02_024E","S1903_C02_024M","S1903_C01_025E","S1903_C01_025M","S1903_C02_025E","S1903_C02_025M","S1903_C01_026E","S1903_C01_026M","S1903_C02_026E","S1903_C02_026M","S1903_C01_027E","S1903_C01_027M","S1903_C02_027E","S1903_C02_027M","S1903_C01_028E","S1903_C01_028M","S1903_C02_028E","S1903_C02_028M","S1903_C01_029E","S1903_C01_029M","S1903_C02_029E","S1903_C02_029M","S1903_C01_030E","S1903_C01_030M","S1903_C02_030E","S1903_C02_030M","S1903_C01_031E","S1903_C01_031M","S1903_C02_031E","S1903_C02_031M",
"Geography","Geographic Area Name","Total!!Estimate!!Households","Total!!Margin of Error!!Households","Median income (dollars)!!Estimate!!Households","Median income (dollars)!!Margin of Error!!Households","Total!!Estimate!!One race!!White","Total!!Margin of Error!!One race!!White","Median income (dollars)!!Estimate!!One race!!White","Median income (dollars)!!Margin of Error!!One race!!White","Total!!Estimate!!One race!!Black or African American","Total!!Margin of Error!!One race!!Black or African American","Median income (dollars)!!Estimate!!One race!!Black or African American","Median income (dollars)!!Margin of Error!!One race!!Black or African American","Total!!Estimate!!One race!!American Indian and Alaska Native","Total!!Margin of Error!!One race!!American Indian and Alaska Native","Median income (dollars)!!Estimate!!One race!!American Indian and Alaska Native","Median income (dollars)!!Margin of Error!!One race!!American Indian and Alaska Native","Total!!Estimate!!One race!!Asian","Total!!Margin of Error!!One race!!Asian","Median income (dollars)!!Estimate!!One race!!Asian","Median income (dollars)!!Margin of Error!!One race!!Asian","Total!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Estimate!!One race!!Native Hawaiian and Other Pacific Islander","Median income (dollars)!!Margin of Error!!One race!!Native Hawaiian and Other Pacific Islander","Total!!Estimate!!One race!!Some other race","Total!!Margin of Error!!One race!!Some other race","Median income (dollars)!!Estimate!!One race!!Some other race","Median income (dollars)!!Margin of Error!!One race!!Some other race","Total!!Estimate!!Two or more races","Total!!Margin of Error!!Two or more races","Median income (dollars)!!Estimate!!Two or more races","Median income (dollars)!!Margin of Error!!Two or more races","Total!!Estimate!!Hispanic or Latino origin (of any race)","Total!!Margin of Error!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Estimate!!Hispanic or Latino origin (of any race)","Median income (dollars)!!Margin of Error!!Hispanic or Latino origin (of any race)","Total!!Estimate!!White alone, not Hispanic or Latino","Total!!Margin of Error!!White alone, not Hispanic or Latino","Median income (dollars)!!Estimate!!White alone, not Hispanic or Latino","Median income (dollars)!!Margin of Error!!White alone, not Hispanic or Latino","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!15 to 24 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!25 to 44 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!45 to 64 years","Total!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Estimate!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Median income (dollars)!!Margin of Error!!HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER!!65 years and over","Total!!Estimate!!FAMILIES!!Families","Total!!Margin of Error!!FAMILIES!!Families","Median income (dollars)!!Estimate!!FAMILIES!!Families","Median income (dollars)!!Margin of Error!!FAMILIES!!Families","Total!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With own children under 18 years","Total!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Total!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Estimate!!FAMILIES!!Families!!With no own children under 18 years","Median income (dollars)!!Margin of Error!!FAMILIES!!Families!!With no own children under 18 years","Total!!Estimate!!FAMILIES!!Married-couple families","Total!!Margin of Error!!FAMILIES!!Married-couple families","Median income (dollars)!!Estimate!!FAMILIES!!Married-couple families","Median income (dollars)!!Margin of Error!!FAMILIES!!Married-couple families","Total!!Estimate!!FAMILIES!!Female householder, no husband present","Total!!Margin of Error!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Estimate!!FAMILIES!!Female householder, no husband present","Median income (dollars)!!Margin of Error!!FAMILIES!!Female householder, no husband present","Total!!Estimate!!FAMILIES!!Male householder, no wife present","Total!!Margin of Error!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Estimate!!FAMILIES!!Male householder, no wife present","Median income (dollars)!!Margin of Error!!FAMILIES!!Male householder, no wife present","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Nonfamily households","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Female householder!!Not living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Living alone","Total!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Estimate!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Median income (dollars)!!Margin of Error!!NONFAMILY HOUSEHOLDS!!Male householder!!Not living alone","Total!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Household income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Household income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months","Total!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Total!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months","Median income (dollars)!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months",
"1400000US13089020100","Census Tract 201, DeKalb County, Georgia","720","86","132917","32924","87.2","7.6","131458","36393","5.1","5.8","250,000+","-333333333","0.0","5.4","-","-222222222","2.1","2.9","-","-222222222","0.0","5.4","-","-222222222","4.6","4.5","-","-222222222","1.0","1.6","-","-222222222","10.1","7.4","33144","32881","81.7","9.4","141000","23291","2.4","3.4","77639","84552","44.7","8.9","127778","48128","37.2","7.1","197222","71763","15.7","6.5","68365","99906","403","77","159219","62541","63.0","11.6","146552","50493","37.0","11.6","196806","61932","89.3","9.0","187727","68265","10.7","9.0","34129","66856","0.0","9.4","-","**","317","89","57361","44533","48.3","16.8","152639","183502","40.7","16.4","116607","187512","7.6","8.4","250,000+","-333333333","51.7","16.8","54429","18949","35.3","17.5","62500","60198","16.4","12.9","53786","946","19.3","-888888888.0","(X)","-888888888","18.9","-888888888.0","(X)","(X)","19.9","-888888888.0","(X)","(X)",
"1400000US13089020200","Census Tract 202, DeKalb County, Georgia","1123","116","66838","8655","88.4","7.8","67279","8465","5.6","5.0","69327","63747","0.0","3.5","-","-222222222","6.0","6.6","26611","97831","0.0","3.5","-","-222222222","0.0","3.5","-","-222222222","0.0","3.5","-","-222222222","4.0","3.7","45337","64216","86.1","8.2","70262","7506","14.5","8.0","27091","51607","42.0","8.0","48984","18949","34.4","6.8","110714","104195","9.1","3.0","160556","103906","397","94","161458","63237","27.0","10.4","245481","67894","73.0","10.4","111429","75274","100.0","9.6","161458","63237","0.0","9.6","-","**","0.0","9.6","-","**","726","119","41611","13037","55.5","11.1","49598","23250","35.1","9.7","58625","20441","20.4","12.1","48393","28199","44.5","11.1","25938","5997","41.2","10.9","25361","3801","3.3","4.1","72000","352787","25.0","-888888888.0","(X)","-888888888","40.3","-888888888.0","(X)","(X)","16.7","-888888888.0","(X)","(X)",
"1400000US13089020300","Census Tract 203, DeKalb County, Georgia","1516","119","105000","16060","86.1","6.6","113625","8601","4.7","4.2","71520","22598","0.0","2.6","-","-222222222","4.4","4.0","52796","1804","0.0","2.6","-","-222222222","2.1","2.6","55900","1602","2.7","2.6","65847","48215","3.6","3.1","57000","218554","84.6","6.8","112147","8688","6.1","4.2","53092","15347","53.7","6.4","118017","11979","37.1","5.3","100156","29993","3.1","2.7","62813","100804","826","104","124583","20036","65.4","7.3","121818","28364","34.6","7.3","126250","37377","88.3","7.1","141369","19674","10.4","6.8","59214","4769","1.3","2.1","-","**","690","123","56719","4562","64.1","12.4","57109","3789","40.7","12.0","57672","12757","23.3","8.8","56650","47189","35.9","12.4","52202","100939","27.4","11.5","51042","27324","8.6","6.4","166484","24789","15.6","-888888888.0","(X)","-888888888","10.9","-888888888.0","(X)","(X)","19.9","-888888888.0","(X)","(X)",
"1400000US13089020400","Census Tract 204, DeKalb County, Georgia","1184","111","78015","11168","96.7","2.6","78419","10600","1.0","1.7","-","-222222222","0.0","3.3","-","-222222222","0.0","3.3","-","-222222222","0.0","3.3","-","-222222222","1.1","1.7","-","-222222222","1.2","2.0","-","-222222222","5.7","4.3","43073","35271","92.1","5.3","79301","9229","7.5","4.2","26311","1255","55.2","7.1","81042","8086","32.2","7.0","87596","19974","5.2","1.8","65795","17636","476","84","100139","24106","58.0","10.9","107672","17071","42.0","10.9","83846","30995","73.3","11.6","112750","18812","22.7","10.9","57353","10713","4.0","4.7","49327","84592","708","119","67222","18157","49.7","12.2","46607","25564","32.6","11.4","68194","49574","17.1","7.9","44205","24557","50.3","12.2","74205","11505","24.7","9.6","65486","33597","25.6","11.8","80625","22724","10.5","-888888888.0","(X)","-888888888","9.5","-888888888.0","(X)","(X)","11.2","-888888888.0","(X)","(X)",
"1400000US13089020500","Census Tract 205, DeKalb County, Georgia","1199","139","49679","13044","38.4","7.6","73750","22173","58.1","7.9","28466","14414","0.9","1.3","-","-222222222","0.0","3.3","-","-222222222","0.0","3.3","-","-222222222","0.0","3.3","-","-222222222","2.6","4.3","-","-222222222","6.0","3.6","86071","37820","35.4","7.7","71827","17622","7.8","5.8","32056","37043","47.6","10.4","71122","15649","22.4","7.5","17563","7126","22.2","6.6","25481","11316","429","94","46685","11471","37.1","11.7","24719","23506","62.9","11.7","51667","16062","50.1","12.4","70125","27129","38.7","13.0","22955","25379","11.2","7.7","45909","26300","770","152","55500","31611","52.2","10.9","35893","17964","32.9","10.1","26298","30962","19.4","10.2","37009","40115","47.8","10.9","66359","13266","28.2","11.0","37355","45425","19.6","10.6","77361","73412","23.4","-888888888.0","(X)","-888888888","29.6","-888888888.0","(X)","(X)","20.0","-888888888.0","(X)","(X)",
"1400000US13089020600","Census Tract 206, DeKalb County, Georgia","897","94","43996","7666","34.0","8.2","89612","24961","55.0","8.1","20542","10976","0.0","4.4","-","-222222222","8.7","8.6","44098","1574","0.0","4.4","-","-222222222","0.0","4.4","-","-222222222","2.3","2.6","79688","10006","1.1","1.9","-","**","32.9","8.4","97583","25004","8.9","6.3","4722","12093","58.1","11.0","49699","26907","27.6","10.8","35652","17699","5.4","5.2","75208","124319","376","104","47685","27811","30.3","18.0","4792","14172","69.7","18.0","70565","43548","59.8","19.1","72056","32736","40.2","19.1","15813","15154","0.0","10.1","-","**","521","126","43832","21788","58.9","12.8","35078","52766","50.1","12.9","21685","24257","8.8","6.9","87778","14196","41.1","12.8","44467","41604","28.4","13.8","43854","21354","12.7","11.0","110750","90023","30.2","-888888888.0","(X)","-888888888","37.5","-888888888.0","(X)","(X)","25.0","-888888888.0","(X)","(X)",
"1400000US13089020700","Census Tract 207, DeKalb County, Georgia","941","116","40518","23844","29.4","7.1","81979","14977","61.6","8.4","20159","9086","0.0","4.2","-","-222222222","1.0","1.6","-","-222222222","0.0","4.2","-","-222222222","2.7","4.2","-","-222222222","5.3","5.4","190268","34094","2.7","4.2","-","**","29.4","7.1","81979","14977","0.9","1.5","-","-222222222","43.5","9.3","56653","13808","31.5","11.1","17297","40630","24.2","9.5","11923","14223","372","94","54741","20259","49.7","12.2","66705","50649","50.3","12.2","54095","12025","56.2","13.1","97981","28078","28.5","14.4","45625","11759","15.3","14.7","21179","11126","569","119","20670","11636","52.0","19.8","16611","10128","46.9","19.3","15806","9704","5.1","5.7","63906","5807","48.0","19.8","48244","41705","33.0","19.2","10625","37541","14.9","10.7","88750","47385","31.8","-888888888.0","(X)","-888888888","24.5","-888888888.0","(X)","(X)","36.6","-888888888.0","(X)","(X)",
"1400000US13089020801","Census Tract 208.01, DeKalb County, Georgia","1127","116","62250","14977","48.2","7.1","111023","20578","47.5","7.1","27850","19217","1.8","2.8","-","-222222222","0.0","3.5","-","-222222222","0.0","3.5","-","-222222222","0.0","3.5","-","-222222222","2.6","3.0","120368","99112","2.2","1.7","59904","72980","46.0","7.0","114643","20252","0.0","3.5","-","-222222222","54.6","8.9","100139","22148","25.5","5.2","58375","18645","20.0","7.4","20163","11435","587","86","88173","23427","40.5","10.7","126923","27322","59.5","10.7","61393","12043","73.1","11.0","118523","22612","20.6","11.2","40489","15560","6.3","7.3","75489","93667","540","125","46563","19639","62.4","12.5","63229","42493","34.3","12.8","28405","25608","28.1","12.0","84938","30968","37.6","12.5","44844","30071","28.9","10.2","26700","23643","8.7","7.2","64886","136622","29.9","-888888888.0","(X)","-888888888","30.5","-888888888.0","(X)","(X)","29.3","-888888888.0","(X)","(X)",
"1400000US13089020802","Census Tract 208.02, DeKalb County, Georgia","1702","139","41607","9135","34.1","6.1","78170","16974","64.0","6.1","26750","12192","0.0","2.3","-","-222222222","0.0","2.3","-","-222222222","0.0","2.3","-","-222222222","0.6","1.0","-","-222222222","1.2","1.3","2,500-","-333333333","0.5","0.7","-","**","33.7","6.1","78527","21391","0.6","1.0","-","-222222222","48.6","6.7","70156","17497","32.1","5.9","33663","7923","18.7","4.5","21810","14333","936","134","47319","7402","40.4","9.4","54545","52847","59.6","9.4","41397","8471","56.7","10.0","70096","20920","37.5","11.1","30994","12340","5.8","5.9","45515","48067","766","158","23409","13362","45.3","14.4","25625","30406","35.9","13.0","13313","18981","9.4","6.7","118583","57676","54.7","14.4","23220","17063","42.0","14.3","16736","7597","12.7","8.5","106321","17880","37.4","-888888888.0","(X)","-888888888","39.4","-888888888.0","(X)","(X)","33.6","-888888888.0","(X)","(X)",
