"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"1400000US13089020100","Census Tract 201, DeKalb County, Georgia","213","1735",
"1400000US13089020200","Census Tract 202, DeKalb County, Georgia","248","2023",
"1400000US13089020300","Census Tract 203, DeKalb County, Georgia","370","3822",
"1400000US13089020400","Census Tract 204, DeKalb County, Georgia","241","2570",
"1400000US13089020500","Census Tract 205, DeKalb County, Georgia","361","2654",
"1400000US13089020600","Census Tract 206, DeKalb County, Georgia","282","1762",
"1400000US13089020700","Census Tract 207, DeKalb County, Georgia","364","2033",
"1400000US13089020801","Census Tract 208.01, DeKalb County, Georgia","340","2807",
"1400000US13089020802","Census Tract 208.02, DeKalb County, Georgia","436","4014",
"1400000US13089020900","Census Tract 209, DeKalb County, Georgia","436","5575",
"1400000US13089021101","Census Tract 211.01, DeKalb County, Georgia","286","3349",
"1400000US13089021102","Census Tract 211.02, DeKalb County, Georgia","985","4777",
"1400000US13089021202","Census Tract 212.02, DeKalb County, Georgia","391","6120",
"1400000US13089021204","Census Tract 212.04, DeKalb County, Georgia","690","4287",
"1400000US13089021208","Census Tract 212.08, DeKalb County, Georgia","406","2924",
"1400000US13089021209","Census Tract 212.09, DeKalb County, Georgia","452","5053",
"1400000US13089021210","Census Tract 212.10, DeKalb County, Georgia","253","5760",
"1400000US13089021211","Census Tract 212.11, DeKalb County, Georgia","315","4839",
"1400000US13089021213","Census Tract 212.13, DeKalb County, Georgia","155","3391",
"1400000US13089021214","Census Tract 212.14, DeKalb County, Georgia","345","6365",
"1400000US13089021215","Census Tract 212.15, DeKalb County, Georgia","577","5062",
"1400000US13089021216","Census Tract 212.16, DeKalb County, Georgia","445","6794",
"1400000US13089021217","Census Tract 212.17, DeKalb County, Georgia","291","2528",
"1400000US13089021218","Census Tract 212.18, DeKalb County, Georgia","597","4602",
"1400000US13089021301","Census Tract 213.01, DeKalb County, Georgia","483","3091",
"1400000US13089021303","Census Tract 213.03, DeKalb County, Georgia","726","5959",
"1400000US13089021305","Census Tract 213.05, DeKalb County, Georgia","646","4780",
"1400000US13089021306","Census Tract 213.06, DeKalb County, Georgia","615","5009",
"1400000US13089021307","Census Tract 213.07, DeKalb County, Georgia","608","3900",
"1400000US13089021308","Census Tract 213.08, DeKalb County, Georgia","925","4571",
"1400000US13089021405","Census Tract 214.05, DeKalb County, Georgia","350","3553",
"1400000US13089021409","Census Tract 214.09, DeKalb County, Georgia","1170","3389",
"1400000US13089021410","Census Tract 214.10, DeKalb County, Georgia","1168","4329",
"1400000US13089021411","Census Tract 214.11, DeKalb County, Georgia","559","2811",
"1400000US13089021412","Census Tract 214.12, DeKalb County, Georgia","493","3425",
"1400000US13089021413","Census Tract 214.13, DeKalb County, Georgia","694","4652",
"1400000US13089021414","Census Tract 214.14, DeKalb County, Georgia","570","2608",
"1400000US13089021415","Census Tract 214.15, DeKalb County, Georgia","455","3487",
"1400000US13089021416","Census Tract 214.16, DeKalb County, Georgia","781","3087",
"1400000US13089021417","Census Tract 214.17, DeKalb County, Georgia","901","5831",
"1400000US13089021502","Census Tract 215.02, DeKalb County, Georgia","289","3912",
"1400000US13089021503","Census Tract 215.03, DeKalb County, Georgia","510","4017",
"1400000US13089021504","Census Tract 215.04, DeKalb County, Georgia","471","5610",
