CSAFP,CBSAFP,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
490,11640,11640,310M700US11640,"Arecibo, PR","Arecibo, PR Metro Area",M1,1,G3110,613528952,231467259,+18.4392239,-066.7599813,946.9258402211279,0.1
,11660,11660,310M700US11660,"Arkadelphia, AR","Arkadelphia, AR Micro Area",M2,2,G3110,2242855174,43965580,+34.0533162,-093.1762085,2303.388789955186,0.1
556,11680,11680,310M700US11680,"Arkansas City-Winfield, KS","Arkansas City-Winfield, KS Micro Area",M2,2,G3110,2915648172,17322934,+37.2345068,-096.8372468,2986.125161522469,0.1
120,11700,11700,310M700US11700,"Asheville, NC","Asheville, NC Metro Area",M1,1,G3110,3830729933,19336007,+35.6163405,-082.5706835,3862.3005679564835,0.1
360,11740,11740,310M700US11740,"Ashland, OH","Ashland, OH Micro Area",M2,2,G3110,1095528191,9969109,+40.8432730,-082.2701271,1108.9447058560418,0.1
,11820,11820,310M700US11820,"Astoria, OR","Astoria, OR Micro Area",M2,2,G3110,2145128705,661372778,+46.0245094,-123.7050366,3389.6019983518013,0.1
312,11860,11860,310M700US11860,"Atchison, KS","Atchison, KS Micro Area",M2,2,G3110,1116736556,6851102,+39.5325441,-095.3133975,1136.8875600492065,0.1
198,11900,11900,310M700US11900,"Athens, OH","Athens, OH Micro Area",M2,2,G3110,1304429460,12364206,+39.3327548,-082.0458853,1321.6677599702145,0.1
174,11940,11940,310M700US11940,"Athens, TN","Athens, TN Micro Area",M2,2,G3110,1619394994,61078967,+35.4519631,-084.6827140,1680.9676528363943,0.1
206,11980,11980,310M700US11980,"Athens, TX","Athens, TX Micro Area",M2,2,G3110,2263061904,193353703,+32.2116334,-095.8534183,2497.023320662256,0.1
122,12020,12020,310M700US12020,"Athens-Clarke County, GA","Athens-Clarke County, GA Metro Area",M1,1,G3110,2654827239,26179161,+33.9439840,-083.2138965,2686.978078870737,0.1
122,12060,12060,310M700US12060,"Atlanta-Sandy Springs-Roswell, GA","Atlanta-Sandy Springs-Roswell, GA Metro Area",M1,1,G3110,22754281350,384413339,+33.7324018,-084.3928478,23154.57518928678,1.0
428,12100,12100,310M700US12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ Metro Area",M1,1,G3110,2090376442,1256255921,+39.2861857,-074.7383113,3437.2194908189244,0.1
258,12140,12140,310M700US12140,"Auburn, IN","Auburn, IN Micro Area",M2,2,G3110,939735804,2657419,+41.3967596,-085.0026969,942.2903723729252,0.1
532,12180,12180,310M700US12180,"Auburn, NY","Auburn, NY Micro Area",M2,2,G3110,1791207571,445691131,+43.0085456,-076.5745866,2275.0789361364173,0.1
194,12220,12220,310M700US12220,"Auburn-Opelika, AL","Auburn-Opelika, AL Metro Area",M1,1,G3110,3149998017,33246652,+32.4922058,-085.5271267,3182.244628802109,0.1
,12260,12260,310M700US12260,"Augusta-Richmond County, GA-SC","Augusta-Richmond County, GA-SC Metro Area",M1,1,G3110,9014968366,262380999,+33.4603713,-081.9828327,9319.969593510958,0.1
,12300,12300,310M700US12300,"Augusta-Waterville, ME","Augusta-Waterville, ME Micro Area",M2,2,G3110,2246739232,216791392,+44.4170119,-069.7657639,2577.36511659686,0.1
462,12380,12380,310M700US12380,"Austin, MN","Austin, MN Micro Area",M2,2,G3110,1842188271,617123,+43.6662486,-092.7595136,1851.1036555405763,0.1
,12420,12420,310M700US12420,"Austin-Round Rock-San Marcos, TX","Austin-Round Rock-San Marcos, TX Metro Area",M1,1,G3110,10929182221,150086251,+30.2497437,-097.6498417,11361.783667966429,0.1
533,12460,12460,310M700US12460,"Bainbridge, GA","Bainbridge, GA Micro Area",M2,2,G3110,1546842847,67154652,+30.8806431,-084.5838902,1614.844789684978,0.1
,12520,12520,310M700US12520,"Baker City, OR","Baker City, OR Micro Area",M2,2,G3110,7945996816,51832631,+44.7034268,-117.6919334,9204.796800018621,0.1
,12540,12540,310M700US12540,"Bakersfield-Delano, CA","Bakersfield-Delano, CA Metro Area",M1,1,G3110,21068706348,78331375,+35.3466288,-118.7295064,25918.67898422253,0.1
548,12580,12580,310M700US12580,"Baltimore-Columbia-Towson, MD","Baltimore-Columbia-Towson, MD Metro Area",M1,1,G3110,6737776066,1304182821,+39.3043610,-076.5495009,8197.810613197373,0.1
,12620,12620,310M700US12620,"Bangor, ME","Bangor, ME Metro Area",M1,1,G3110,8798671486,414011334,+45.4092843,-068.6666160,9679.802021496926,0.1
357,12660,12660,310M700US12660,"Baraboo, WI","Baraboo, WI Micro Area",M2,2,G3110,2153800051,45578927,+43.4280010,-089.9433184,2200.7114235898493,0.1
148,12700,12700,310M700US12700,"Barnstable Town, MA","Barnstable Town, MA Metro Area",M1,1,G3110,1020973583,2360362409,+41.7061233,-070.1648227,3543.1263740769264,0.1
162,12740,12740,310M700US12740,"Barre, VT","Barre, VT Micro Area",M2,2,G3110,1779477067,21517931,+44.2749694,-072.6094444,1858.5626061619018,0.1
538,12780,12780,310M700US12780,"Bartlesville, OK","Bartlesville, OK Micro Area",M2,2,G3110,1076201521,22871165,+36.7044030,-095.9062525,1115.4403120418217,0.1
464,12860,12860,310M700US12860,"Batavia, NY","Batavia, NY Micro Area",M2,2,G3110,1276803036,6136678,+43.0009096,-078.1927784,1298.2510080471286,0.1
,12900,12900,310M700US12900,"Batesville, AR","Batesville, AR Micro Area",M2,2,G3110,1978003733,20251226,+35.7374992,-091.5599423,2005.0878660501103,0.1
132,12940,12940,310M700US12940,"Baton Rouge, LA","Baton Rouge, LA Metro Area",M1,1,G3110,11312576960,530858010,+30.5152419,-091.1269263,11880.124067958777,0.1
,38260,38260,310M700US38260,"Pittsburg, KS","Pittsburg, KS Micro Area",M2,2,G3110,1527499260,13573629,+37.5058215,-094.8538967,1558.222357210662,0.1
430,38300,38300,310M700US38300,"Pittsburgh, PA","Pittsburgh, PA Metro Area",M1,1,G3110,14608358101,168058735,+40.4713315,-079.8639858,14898.587836101098,0.1
,38340,38340,310M700US38340,"Pittsfield, MA","Pittsfield, MA Metro Area",M1,1,G3110,2400592147,50709767,+42.3714930,-073.2179276,2528.0587118028275,0.1
352,38380,38380,310M700US38380,"Plainview, TX","Plainview, TX Micro Area",M2,2,G3110,5171746706,1230415,+34.0669330,-101.5714224,5404.55918655151,0.1
,38420,38420,310M700US38420,"Platteville, WI","Platteville, WI Micro Area",M2,2,G3110,2972281305,92642517,+42.8700275,-090.6942288,3069.4041037345737,0.1
,38460,38460,310M700US38460,"Plattsburgh, NY","Plattsburgh, NY Micro Area",M2,2,G3110,2687763025,206581998,+44.7527120,-073.7056429,2971.894450703514,0.1
515,38500,38500,310M700US38500,"Plymouth, IN","Plymouth, IN Micro Area",M2,2,G3110,1148964732,15863826,+41.3250032,-086.2690363,1164.0090612921908,0.1
428,37980,37980,310M700US37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",M1,1,G3110,11922292477,691900131,+39.8949576,-075.3119824,12917.72866711566,0.1
,38540,38540,310M700US38540,"Pocatello, ID","Pocatello, ID Metro Area",M1,1,G3110,2881332843,92079664,+42.6929211,-112.2289819,3295.5884811234387,0.1
,38620,38620,310M700US38620,"Ponca City, OK","Ponca City, OK Micro Area",M2,2,G3110,2381778878,65545215,+36.8148851,-097.1438616,2495.199401547562,0.1
434,38660,38660,310M700US38660,"Ponce, PR","Ponce, PR Metro Area",M1,1,G3110,946643089,447355259,+18.0228643,-066.6457033,1565.157985346116,0.1
145,38700,38700,310M700US38700,"Pontiac, IL","Pontiac, IL Micro Area",M2,2,G3110,2702983876,5975815,+40.8943761,-088.5528518,2707.958951745499,0.1
,38740,38740,310M700US38740,"Poplar Bluff, MO","Poplar Bluff, MO Micro Area",M2,2,G3110,1799405245,11196956,+36.7151802,-090.4031300,1813.2913490774379,0.1
429,38060,38060,310M700US38060,"Phoenix-Mesa-Chandler, AZ","Phoenix-Mesa-Chandler, AZ Metro Area",M1,1,G3110,37732739671,82855906,+33.1857653,-112.0678624,43252.11635333125,0.1
,38820,38820,310M700US38820,"Port Angeles, WA","Port Angeles, WA Micro Area",M2,2,G3110,4503402670,2409320051,+48.1109034,-123.8898599,8235.138043808733,0.1
438,38860,38860,310M700US38860,"Portland-South Portland, ME","Portland-South Portland, ME Metro Area",M1,1,G3110,5390727637,2009396289,+43.6514172,-070.4183755,7724.75132115085,0.1
440,38900,38900,310M700US38900,"Portland-Vancouver-Hillsboro, OR-WA","Portland-Vancouver-Hillsboro, OR-WA Metro Area",M1,1,G3110,17320267665,354162782,+45.6006221,-122.4843780,21157.968821446277,0.1
406,38100,38100,310M700US38100,"Picayune, MS","Picayune, MS Micro Area",M2,2,G3110,2101322057,20768206,+30.7747929,-089.5869043,2123.6185676409946,0.1
,38180,38180,310M700US38180,"Pierre, SD","Pierre, SD Micro Area",M2,2,G3110,5661617810,341706912,+44.4048969,-100.4848175,6170.385408182405,0.1
,38210,38210,310M700US38210,"Pikeville, KY","Pikeville, KY Micro Area",M2,2,G3110,3054948712,12301715,+37.4993655,-082.5097938,3076.7286735244284,0.1
340,38220,38220,310M700US38220,"Pine Bluff, AR","Pine Bluff, AR Micro Area",M2,2,G3110,3807945656,115633391,+34.1211155,-092.0419692,3941.348788587655,0.1
246,38240,38240,310M700US38240,"Pinehurst-Southern Pines, NC","Pinehurst-Southern Pines, NC Metro Area",M1,1,G3110,1806846432,20853327,+35.3082734,-079.4927233,1847.4022974506815,0.1
544,38920,38920,310M700US38920,"Port Lavaca, TX","Port Lavaca, TX Micro Area",M2,2,G3110,1312947260,1361644522,+28.4417191,-096.5795739,2731.70135587016,0.1
370,38940,38940,310M700US38940,"Port St. Lucie, FL","Port St. Lucie, FL Metro Area",M1,1,G3110,2889642160,842852656,+27.2280459,-080.4253884,3768.8655474878183,0.1
