STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,Simulation_ID,GEOIDFQ,Simulation_Name,NAMELSAD,LSAD,CLASSFP,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Sqkm,Beltline Score
13,097,91146,01936261,1309791146,0600000US1309791146,Fairplay,Fairplay CCD,22,Z5,G4040,S,112228132,227203,+33.6261912,-084.8514901,112.4752141929417,0.1
13,079,93480,01936665,1307993480,0600000US1307993480,Zenith,Zenith CCD,22,Z5,G4040,S,454511625,2527881,+32.6589353,-083.9336969,457.6122206419984,0.1
13,219,91050,01936245,1321991050,0600000US1321991050,Elder,Elder CCD,22,Z5,G4040,S,122479123,1249172,+33.7741025,-083.3362460,123.97996588277856,0.1
13,139,92250,01936449,1313992250,0600000US1313992250,Oakwood,Oakwood CCD,22,Z5,G4040,S,43218218,5401997,+34.2310798,-083.8950696,48.67939909299912,0.1
13,139,91836,01936377,1313991836,0600000US1313991836,Lula,Lula CCD,22,Z5,G4040,S,171928291,2478221,+34.3692658,-083.6850088,174.66641893349768,0.1
13,139,90690,01936183,1313990690,0600000US1313990690,Clermont,Clermont CCD,22,Z5,G4040,S,227663987,7259257,+34.4341853,-083.7813422,235.2413646168217,0.1
13,021,91891,02583413,1302191891,0600000US1302191891,Macon East,Macon East CCD,22,Z5,G4040,S,118455060,2158170,+32.8230441,-083.5621842,120.82359673577213,0.1
13,021,91892,02583414,1302191892,0600000US1302191892,Macon West,Macon West CCD,22,Z5,G4040,S,215961526,3049007,+32.8448387,-083.6894016,219.3539573184422,0.1
13,035,93438,02583415,1303593438,0600000US1303593438,Worthville,Worthville CCD,22,Z5,G4040,S,83260735,4532750,+33.3910548,-083.9356679,87.90059182992387,0.1
13,035,92822,01936595,1303592822,0600000US1303592822,Southwest Butts,Southwest Butts CCD,22,Z5,G4040,S,91037591,733416,+33.2371733,-084.0481560,91.86845086302519,0.1
13,087,92104,01936460,1308792104,0600000US1308792104,Mount Pleasant,Mount Pleasant CCD,22,Z5,G4040,S,216124396,2592948,+31.0015738,-084.4571653,218.86031364575553,0.1
13,127,91599,02583412,1312791599,0600000US1312791599,Jekyll Island,Jekyll Island CCD,22,Z5,G4040,S,86294841,158019076,+31.0637103,-081.4187305,245.8319651765286,0.1
13,219,90324,01936120,1321990324,0600000US1321990324,Bogart,Bogart CCD,22,Z5,G4040,S,110367815,1202362,+33.9049980,-083.5483216,111.76098243927477,0.1
13,219,93282,01936631,1321993282,0600000US1321993282,Watkinsville,Watkinsville CCD,22,Z5,G4040,S,244614856,2794649,+33.8341247,-083.4377284,247.87643672922619,0.1
13,049,92646,01936520,1304992646,0600000US1304992646,St. George,St. George CCD,22,Z5,G4040,S,785637161,1438094,+30.5779012,-082.1042465,790.7233547174967,0.1
13,115,90126,01936085,1311590126,0600000US1311590126,Armuchee,Armuchee CCD,22,Z5,G4040,S,245836216,3167548,+34.4191990,-085.1474537,248.9824117929256,0.1
13,067,91926,01936393,1306791926,0600000US1306791926,Marietta,Marietta CCD,22,Z5,G4040,S,123188804,608172,+33.9614853,-084.5353370,123.85629049093411,0.1
13,245,90168,01936093,1324590168,0600000US1324590168,Augusta,Augusta CCD,22,Z5,G4040,S,244867307,6186734,+33.4443906,-082.0220961,252.18170698110617,0.1
13,115,92586,01936509,1311592586,0600000US1311592586,Rome,Rome CCD,22,Z5,G4040,S,687797968,13712668,+34.2310494,-085.2252327,701.4212913365179,0.1
13,233,90600,01936168,1323390600,0600000US1323390600,Cedartown,Cedartown CCD,22,Z5,G4040,S,481822047,1753930,+33.9919315,-085.2751334,483.49234448048895,0.1
13,241,90684,01936182,1324190684,0600000US1324190684,Clayton,Clayton CCD,22,Z5,G4040,S,409546157,2181118,+34.9442570,-083.2380296,412.5247012268043,0.1
13,283,91290,01936285,1328391290,0600000US1328391290,Gillis Springs,Gillis Springs CCD,22,Z5,G4040,S,237080887,3872736,+32.4516785,-082.5163819,241.81971527560444,0.1
13,285,91506,01936321,1328591506,0600000US1328591506,Hogansville,Hogansville CCD,22,Z5,G4040,S,172039281,1143192,+33.1556171,-084.9355042,173.20308307291114,0.1
13,047,90360,01936126,1304790360,0600000US1304790360,Boynton Ridge,Boynton Ridge CCD,22,Z5,G4040,S,81377171,294679,+34.9185211,-085.2018522,81.6607876697152,0.1
13,047,92526,01936498,1304792526,0600000US1304792526,Ringgold,Ringgold CCD,22,Z5,G4040,S,147566648,399195,+34.8843708,-085.1471320,147.9521554722704,0.1
13,047,90582,01936165,1304790582,0600000US1304790582,Catoosa Springs,Catoosa Springs CCD,22,Z5,G4040,S,145113404,44712,+34.9096556,-085.0603848,145.15425100812715,0.1
13,013,93390,01936650,1301393390,0600000US1301393390,Winder,Winder CCD,22,Z5,G4040,S,118296193,2323009,+34.0130648,-083.7116800,120.79779749701736,0.1
13,099,90294,01936115,1309990294,0600000US1309990294,Blakely,Blakely CCD,22,Z5,G4040,S,644329166,5216432,+31.3853382,-084.9493497,649.6401985515535,0.1
